uid,title_fr,description_fr,location_name,firstdate_begin,date_lisible,text_for_rag
16860004,Zoot For Kids / Atelier Jazz Jeune Public,"Tous les dimanches, le Zoot Collectif invite les enfants à plonger dans l’univers du jazz.Durant cet atelier les artistes partagent leur passion avec simplicité et bonne humeur : on découvre chaqu ...",JASS CLUB PARIS,2026-02-15T14:00:00+00:00,15 February 2026,"Événement: Zoot For Kids / Atelier Jazz Jeune Public | Date: 15 February 2026 | Lieu: JASS CLUB PARIS | Description: Tous les dimanches, le Zoot Collectif invite les enfants à plonger dans l’univers du jazz.Durant cet atelier les artistes partagent leur passion avec simplicité et bonne humeur : on découvre chaqu ... | firstdate_begin: 2026-02-15T14:00:00+00:00"
58451782,Nicolas Giraud PULSE Feat Jorge Vistel,"19h30 & 21h30Nicolas Giraud présente PULSE, un projet où Afrobeat, jazz et électro se croisent naturellement.Après plus de vingt ans aux côtés de Tony Allen, il continue d’explorer ce qu’il a appr ...",JASS CLUB PARIS,2026-01-02T18:30:00+00:00,02 January 2026,"Événement: Nicolas Giraud PULSE Feat Jorge Vistel | Date: 02 January 2026 | Lieu: JASS CLUB PARIS | Description: 19h30 & 21h30Nicolas Giraud présente PULSE, un projet où Afrobeat, jazz et électro se croisent naturellement.Après plus de vingt ans aux côtés de Tony Allen, il continue d’explorer ce qu’il a appr ... | firstdate_begin: 2026-01-02T18:30:00+00:00"
69579311,Ludivine Issambourg Quintet invite André Villeger,"19h30 & 21h30Ludivine Issambourg Quintet rassemble cinq musiciens qui partagent le goût de la recherche sonore. L’association des flûtes, du trombone et du vibraphone crée un espace d’exploration  ...",JASS CLUB PARIS,2026-01-23T18:30:00+00:00,23 January 2026,"Événement: Ludivine Issambourg Quintet invite André Villeger | Date: 23 January 2026 | Lieu: JASS CLUB PARIS | Description: 19h30 & 21h30Ludivine Issambourg Quintet rassemble cinq musiciens qui partagent le goût de la recherche sonore. L’association des flûtes, du trombone et du vibraphone crée un espace d’exploration  ... | firstdate_begin: 2026-01-23T18:30:00+00:00"
75938036,Riitta Paakki Quartet,"19h30 & 21h30Pianiste et compositrice finlandaise, Riitta Paakki s’est fait connaître grâce à un parcours marqué par une grande curiosité musicale et un profond attachement au jazz. Formée au Sibe ...",JASS CLUB PARIS,2026-01-16T18:30:00+00:00,16 January 2026,"Événement: Riitta Paakki Quartet | Date: 16 January 2026 | Lieu: JASS CLUB PARIS | Description: 19h30 & 21h30Pianiste et compositrice finlandaise, Riitta Paakki s’est fait connaître grâce à un parcours marqué par une grande curiosité musicale et un profond attachement au jazz. Formée au Sibe ... | firstdate_begin: 2026-01-16T18:30:00+00:00"
94360662,Apostolos Sideris Quintet,"19h30 & 21h30« Past-Presented! Ce titre seul donne la couleur : une musique du bel aujourd’hui, qui jongle avec les fragmentations du passé, en écoutant les échos de mondes différents, l’orient mé ...",JASS CLUB PARIS,2026-03-27T18:30:00+00:00,27 March 2026,"Événement: Apostolos Sideris Quintet | Date: 27 March 2026 | Lieu: JASS CLUB PARIS | Description: 19h30 & 21h30« Past-Presented! Ce titre seul donne la couleur : une musique du bel aujourd’hui, qui jongle avec les fragmentations du passé, en écoutant les échos de mondes différents, l’orient mé ... | firstdate_begin: 2026-03-27T18:30:00+00:00"
6429351,Visite de lyf Gambetta pour les élèves du lycée Renée Auffray !,Visite de l'hôtel lifestyle lyf Gambetta pour les élèves du BTS Tourisme du lycée René Auffray.,lyf Gambetta Paris,2026-02-19T10:00:00+00:00,19 February 2026,Événement: Visite de lyf Gambetta pour les élèves du lycée Renée Auffray ! | Date: 19 February 2026 | Lieu: lyf Gambetta Paris | Description: Visite de l'hôtel lifestyle lyf Gambetta pour les élèves du BTS Tourisme du lycée René Auffray. | firstdate_begin: 2026-02-19T10:00:00+00:00
2407490,Formez-vous aux Métiers du Tourisme // Journée Portes Ouvertes,Cet événement sera l’occasion de découvrir les masters en tourisme de l'IREST - Institut de Recherche et d'Études Supérieures du Tourisme (INNTO France) – Université Paris 1 Panthéon-Sorbonne,Centre Broca,2026-02-17T16:00:00+00:00,17 February 2026,Événement: Formez-vous aux Métiers du Tourisme // Journée Portes Ouvertes | Date: 17 February 2026 | Lieu: Centre Broca | Description: Cet événement sera l’occasion de découvrir les masters en tourisme de l'IREST - Institut de Recherche et d'Études Supérieures du Tourisme (INNTO France) – Université Paris 1 Panthéon-Sorbonne | firstdate_begin: 2026-02-17T16:00:00+00:00
25319120,"Session d'information en ligne - Diplôme ""Arts, Science et Gestion du Vin""","Le Cordon Bleu Paris vous invite à une session d'information exclusive sur notre diplôme Arts, Science et Gestion du Vin.",Le Cordon Bleu Paris,2026-02-05T16:00:00+00:00,05 February 2026,"Événement: Session d'information en ligne - Diplôme ""Arts, Science et Gestion du Vin"" | Date: 05 February 2026 | Lieu: Le Cordon Bleu Paris | Description: Le Cordon Bleu Paris vous invite à une session d'information exclusive sur notre diplôme Arts, Science et Gestion du Vin. | firstdate_begin: 2026-02-05T16:00:00+00:00"
95502450,Journée Portes Ouvertes 2026 - Université Paris 1 Panthéon-Sorbonne (Centre Pierre-Mendès-France),L'Université Paris 1 Panthéon-Sorbonne vous ouvre les portes du Centre Pierre-Mendès-France le samedi 14 février 2026 !,Université Paris 1 Panthéon Sorbonne - Centre Pierre Mendès France,2026-02-14T08:30:00+00:00,14 February 2026,Événement: Journée Portes Ouvertes 2026 - Université Paris 1 Panthéon-Sorbonne (Centre Pierre-Mendès-France) | Date: 14 February 2026 | Lieu: Université Paris 1 Panthéon Sorbonne - Centre Pierre Mendès France | Description: L'Université Paris 1 Panthéon-Sorbonne vous ouvre les portes du Centre Pierre-Mendès-France le samedi 14 février 2026 ! | firstdate_begin: 2026-02-14T08:30:00+00:00
57205856,Webinaire - Appels à projets : Programme de travail 2026-27 Cluster 6,"L'équipe du Point de Contact National du Cluster 6 présentera les sujets du plan de travail 2026-2027 pour Horizon Europe, destination par destination.","Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace",2026-01-16T08:30:00+00:00,16 January 2026,"Événement: Webinaire - Appels à projets : Programme de travail 2026-27 Cluster 6 | Date: 16 January 2026 | Lieu: Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace | Description: L'équipe du Point de Contact National du Cluster 6 présentera les sujets du plan de travail 2026-2027 pour Horizon Europe, destination par destination. | firstdate_begin: 2026-01-16T08:30:00+00:00"
61189776,"Webinaire ""Creative Innovation Lab""","Ce webinaire vise à préparer les acteurs de l'audiovisuel, de la musique, de l'édition et des musée souhaitant candidater à l’appel Creative Innovation Lab 2026 du programme Europe Créative.",Relais Culture Europe,2026-01-23T09:00:00+00:00,23 January 2026,"Événement: Webinaire ""Creative Innovation Lab"" | Date: 23 January 2026 | Lieu: Relais Culture Europe | Description: Ce webinaire vise à préparer les acteurs de l'audiovisuel, de la musique, de l'édition et des musée souhaitant candidater à l’appel Creative Innovation Lab 2026 du programme Europe Créative. | firstdate_begin: 2026-01-23T09:00:00+00:00"
33817014,,,HEC Alumni,2026-01-22T17:30:00+00:00,22 January 2026,
83410408,Dis-moi dix mots,Dis-moi Dix mots,COMPAGNIE GAZELLE,2025-09-05T13:00:00+00:00,05 September 2025,Événement: Dis-moi dix mots | Date: 05 September 2025 | Lieu: COMPAGNIE GAZELLE | Description: Dis-moi Dix mots | firstdate_begin: 2025-09-05T13:00:00+00:00
11405259,"Concours ""Dis-moi dix mots humanoides""",Dis-moi Dix mots,Ministère de la Culture,2026-03-21T17:00:00+00:00,21 March 2026,"Événement: Concours ""Dis-moi dix mots humanoides"" | Date: 21 March 2026 | Lieu: Ministère de la Culture | Description: Dis-moi Dix mots | firstdate_begin: 2026-03-21T17:00:00+00:00"
40781085,CSE: tout ce qu’il faut savoir pour réussir votre mandat !,"Jean-Paul Hiaux, formateur spécialisé sur les formations des membres du CSE, répondra à toutes les questions que vous vous posez dans le cadre de l’exercice de votre mandat ou futur mandat !",Paris Porte De Versailles - SolutionsCSE,2026-03-19T13:00:00+00:00,19 March 2026,"Événement: CSE: tout ce qu’il faut savoir pour réussir votre mandat ! | Date: 19 March 2026 | Lieu: Paris Porte De Versailles - SolutionsCSE | Description: Jean-Paul Hiaux, formateur spécialisé sur les formations des membres du CSE, répondra à toutes les questions que vous vous posez dans le cadre de l’exercice de votre mandat ou futur mandat ! | firstdate_begin: 2026-03-19T13:00:00+00:00"
67994213,"En Quête d'info, 2ème édition du festival de décryptage des médias dans les bibliothèques",Le festival de décryptage de l'information et d'éducation aux médias des bibliothèques est de retour pour sa 2ème édition !,Bibliothèque Germaine Tillion,2026-04-02T08:00:00+00:00,02 April 2026,"Événement: En Quête d'info, 2ème édition du festival de décryptage des médias dans les bibliothèques | Date: 02 April 2026 | Lieu: Bibliothèque Germaine Tillion | Description: Le festival de décryptage de l'information et d'éducation aux médias des bibliothèques est de retour pour sa 2ème édition ! | firstdate_begin: 2026-04-02T08:00:00+00:00"
41790390,Confestacle Enquête Lunaire,"Spectacle original où la science rencontre le théâtre. Le spectacle démonte avec finesse les idées reçues et « fake news » autour des croyances lunaires, entre humour et rigueur scientifique.",Cité des sciences et de l'industrie,2026-03-21T13:30:00+00:00,21 March 2026,"Événement: Confestacle Enquête Lunaire | Date: 21 March 2026 | Lieu: Cité des sciences et de l'industrie | Description: Spectacle original où la science rencontre le théâtre. Le spectacle démonte avec finesse les idées reçues et « fake news » autour des croyances lunaires, entre humour et rigueur scientifique. | firstdate_begin: 2026-03-21T13:30:00+00:00"
76678536,Des tours cérébraux,"Venez découvrir l'univers des biais cognitifs où vous serez accompagnés dans la compréhension, le décryptage et l’analyse de ces schémas de réflexion qui peuvent parfois nous induire en erreur…",Cité des sciences et de l'industrie,2026-03-20T09:00:00+00:00,20 March 2026,"Événement: Des tours cérébraux | Date: 20 March 2026 | Lieu: Cité des sciences et de l'industrie | Description: Venez découvrir l'univers des biais cognitifs où vous serez accompagnés dans la compréhension, le décryptage et l’analyse de ces schémas de réflexion qui peuvent parfois nous induire en erreur… | firstdate_begin: 2026-03-20T09:00:00+00:00"
51540879,Permanence de L'association Opinions sur Rue,"Tous les 19 du mois, nous vous présentons l'association",Opinions sur Rue,2026-03-19T19:00:00+00:00,19 March 2026,"Événement: Permanence de L'association Opinions sur Rue | Date: 19 March 2026 | Lieu: Opinions sur Rue | Description: Tous les 19 du mois, nous vous présentons l'association | firstdate_begin: 2026-03-19T19:00:00+00:00"
23875401,L'Institut de Formation en Masso-Kinésithérapie EFOM ouvre ses portes,Rencontrez les étudiants et l'équipe pédagogique,FONDATION EFOM BORIS DOLTO_IFMK,2026-03-11T16:00:00+00:00,11 March 2026,Événement: L'Institut de Formation en Masso-Kinésithérapie EFOM ouvre ses portes | Date: 11 March 2026 | Lieu: FONDATION EFOM BORIS DOLTO_IFMK | Description: Rencontrez les étudiants et l'équipe pédagogique | firstdate_begin: 2026-03-11T16:00:00+00:00
